image,ADI,BACK,LYM,STR,DEB,MUC,TUM,MUS,NORM
TUM-VDCHNVLV,0,0,0,0,0,0,1,0,0
MUS-HSQHCGTT,0,0,0,0,0,0,0,1,0
LYM-KCACDAHQ,0,0,1,0,0,0,0,0,0
BACK-HAMPYPDT,0,1,0,0,0,0,0,0,0
DEB-KQDAHPEQ,0,0,0,0,1,0,0,0,0
STR-GYKGRLTD,0,0,0,1,0,0,0,0,0
ADI-ASFRKVTD,1,0,0,0,0,0,0,0,0
MUC-EACRKRSF,0,0,0,0,0,1,0,0,0
NORM-PDLYIFMQ,0,0,0,0,0,0,0,0,1
TUM-AGCTRTMG,0,0,0,0,0,0,1,0,0
MUS-KCFTTKPK,0,0,0,0,0,0,0,1,0
LYM-INIAMGQS,0,0,1,0,0,0,0,0,0
BACK-NFMVNSTE,0,1,0,0,0,0,0,0,0
DEB-TRTQPYRE,0,0,0,0,1,0,0,0,0
STR-NKHLGARK,0,0,0,1,0,0,0,0,0
ADI-KRCFDQHM,1,0,0,0,0,0,0,0,0
MUC-MWIFNALY,0,0,0,0,0,1,0,0,0
NORM-CSRWRKLS,0,0,0,0,0,0,0,0,1
TUM-QTRDNHRD,0,0,0,0,0,0,1,0,0
MUS-FVSMKCTC,0,0,0,0,0,0,0,1,0
LYM-IQKDQLTK,0,0,1,0,0,0,0,0,0
BACK-FMSCIRNT,0,1,0,0,0,0,0,0,0
DEB-WCDYIMMY,0,0,0,0,1,0,0,0,0
STR-HIQKPHWA,0,0,0,1,0,0,0,0,0
ADI-HQVVPPMR,1,0,0,0,0,0,0,0,0
TUM-YGSQESRL,0,0,0,0,0,0,1,0,0
MUS-CPSGAKWT,0,0,0,0,0,0,0,1,0
MUC-TFIHDASI,0,0,0,0,0,1,0,0,0
NORM-SPLRVQRM,0,0,0,0,0,0,0,0,1
LYM-VDSYMECW,0,0,1,0,0,0,0,0,0
BACK-IVFQSAVP,0,1,0,0,0,0,0,0,0
DEB-SKPDAKST,0,0,0,0,1,0,0,0,0
TUM-DLQYNMQI,0,0,0,0,0,0,1,0,0
MUS-TYNTVYPH,0,0,0,0,0,0,0,1,0
STR-KHPCTESA,0,0,0,1,0,0,0,0,0
ADI-DNAEQYVT,1,0,0,0,0,0,0,0,0
LYM-YDQAKWHN,0,0,1,0,0,0,0,0,0
MUC-FDVVYLFF,0,0,0,0,0,1,0,0,0
NORM-GYIMFMKE,0,0,0,0,0,0,0,0,1
TUM-TRSVHHES,0,0,0,0,0,0,1,0,0
MUS-KNYCLPHQ,0,0,0,0,0,0,0,1,0
